序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
341,600037,歌华有线,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:4,863.36万元至6,463.36万元。",-56633600.0,42.895,"本报告期内,尽管受市场环境变化、行业竞争加剧等因素影响,公司主营业务收入同比有所下降,但公司的投资收益、资产处置收益同比增幅较大。同时,公司加大共建共享力度,网络资源租赁收入增加,最终实现营业利润同比上升。",减亏,-99173400.0,2026-01-24
342,600037,歌华有线,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:3,200万元至4,800万元。",40000000.0,157.535,"本报告期内,尽管受市场环境变化、行业竞争加剧等因素影响,公司主营业务收入同比有所下降,但公司的投资收益、资产处置收益同比增幅较大。同时,公司加大共建共享力度,网络资源租赁收入增加,最终实现营业利润同比上升。",扭亏,-69520900.0,2026-01-24
343,301662,宏工科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:6,341.02万元至7,841.02万元,同比上年下降:61.2%至68.63%。",70910200.0,-64.915,"1、2024年锂电行业整体仍处于弱复苏状态,部分电池厂商的产能利用率承压,扩产计划停滞或放缓,因此上游锂电池设备制造企业获取的新增订单较少。2025年锂电行业整体有所回暖,公司2025年度新增订单35.54亿元(含在途),较上一年同期增长53.41%,但公司产品需经安装、调试、试生产等过程,达到合同约定的技术标准并经客户验收合格后确认收入,订单执行、收入确认的周期较长,且部分新拓展的海外市场项目验收交付时间相对较长,公司报告期内收入、利润的实现与订单增长不同步。2、个别历史项目的交付时间超出预期,在2025年交付完成后结转的项目成本较大,导致项目产生的毛利大幅减少,且项目的应收账款需要考虑信用减值损失的计提;以上因素共同对公司2025年年度净利润产生了影响。3、未来公司将持续稳健经营,不断推动技术创新、精益项目交付管理,深化成本控制,做好应收账款的回款工作,提升经营效率,为全体股东创造长期价值。",预减,202111300.0,2026-01-24
344,301662,宏工科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:7,000万元至8,500万元,同比上年下降:59.09%至66.31%。",77500000.0,-62.7,"1、2024年锂电行业整体仍处于弱复苏状态,部分电池厂商的产能利用率承压,扩产计划停滞或放缓,因此上游锂电池设备制造企业获取的新增订单较少。2025年锂电行业整体有所回暖,公司2025年度新增订单35.54亿元(含在途),较上一年同期增长53.41%,但公司产品需经安装、调试、试生产等过程,达到合同约定的技术标准并经客户验收合格后确认收入,订单执行、收入确认的周期较长,且部分新拓展的海外市场项目验收交付时间相对较长,公司报告期内收入、利润的实现与订单增长不同步。2、个别历史项目的交付时间超出预期,在2025年交付完成后结转的项目成本较大,导致项目产生的毛利大幅减少,且项目的应收账款需要考虑信用减值损失的计提;以上因素共同对公司2025年年度净利润产生了影响。3、未来公司将持续稳健经营,不断推动技术创新、精益项目交付管理,深化成本控制,做好应收账款的回款工作,提升经营效率,为全体股东创造长期价值。",预减,207773600.0,2026-01-24
345,301167,建研设计,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:800万元至1,150万元,同比上年增长:241.17%至390.43%。",9750000.0,315.8,"报告期内,公司进一步强化生产经营风险管控,持续加大应收款项清收力度,取得一定成效,信用减值损失计提金额同比减少。",预增,2344900.0,2026-01-24
346,301167,建研设计,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,750万元至2,500万元,同比上年增长:12.42%至60.6%。",21250000.0,36.51,"报告期内,公司进一步强化生产经营风险管控,持续加大应收款项清收力度,取得一定成效,信用减值损失计提金额同比减少。",预增,15566900.0,2026-01-24
347,300935,盈建科,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:7,000万元至8,500万元。",-77500000.0,-52.62,"报告期内,公司业绩变动的主要原因为:硬件设备业务收入略有增加,相应成本增加,公司整体毛利率有所下滑;公司为顺应市场形势变化,积极开拓国内外市场,加大研发力度和技术创新,由此在人才队伍建设、市场投入等方面持续加大导致公司销售费用和研发费用有所增加。",增亏,-50780300.0,2026-01-24
348,300935,盈建科,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:8,000万元至9,500万元。",-87500000.0,-40.01,"报告期内,公司业绩变动的主要原因为:硬件设备业务收入略有增加,相应成本增加,公司整体毛利率有所下滑;公司为顺应市场形势变化,积极开拓国内外市场,加大研发力度和技术创新,由此在人才队伍建设、市场投入等方面持续加大导致公司销售费用和研发费用有所增加。",增亏,-62495100.0,2026-01-24
349,300935,盈建科,扣除后营业收入,"预计2025年1-12月扣除后营业收入:11,650万元至12,550万元。",121000000.0,,"报告期内,公司业绩变动的主要原因为:硬件设备业务收入略有增加,相应成本增加,公司整体毛利率有所下滑;公司为顺应市场形势变化,积极开拓国内外市场,加大研发力度和技术创新,由此在人才队伍建设、市场投入等方面持续加大导致公司销售费用和研发费用有所增加。",略减,133811100.0,2026-01-24
350,300935,盈建科,营业收入,"预计2025年1-12月营业收入:12,300万元至13,200万元。",127500000.0,-4.725,"报告期内,公司业绩变动的主要原因为:硬件设备业务收入略有增加,相应成本增加,公司整体毛利率有所下滑;公司为顺应市场形势变化,积极开拓国内外市场,加大研发力度和技术创新,由此在人才队伍建设、市场投入等方面持续加大导致公司销售费用和研发费用有所增加。",略减,133820900.0,2026-01-24
351,300868,杰美特,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,700万元至9,700万元。",-82000000.0,-197.535,"1、受客户业务变动及国际政策影响,公司整体收入及毛利额减少2025年度,虽然公司自有品牌业务收入较上年同期有所增加,但公司ODM/OEM业务的国内部分客户因自身业务变动,对公司的订单需求减少,叠加海外部分国家因关税政策变化及国际政治形势的影响,部分境外客户转移供应链到东南亚地区,减少对公司的订单量,导致公司ODM/OEM业务收入同比减少;因此公司整体业务收入较上年同期减少,受此影响,公司的毛利额亦同比减少。2、受货币市场波动影响,财务费用增加因公司外销业务主要以美元结算,受美元汇率波动影响,公司2025年汇兑损失增加;受市场利率下行的影响,公司现金管理收益较上年同期亦有所下降。3、业务推广费较上年同期增加2025年度,公司销售费用较上年同期有所增加,主要是公司2025年加大了自有品牌业务的开拓力度,业务推广费有所增加,但同步带动了自有品牌业务收入的增长。",增亏,-27560000.0,2026-01-24
352,300868,杰美特,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,400万元至6,400万元。",-54000000.0,-863.79,"1、受客户业务变动及国际政策影响,公司整体收入及毛利额减少2025年度,虽然公司自有品牌业务收入较上年同期有所增加,但公司ODM/OEM业务的国内部分客户因自身业务变动,对公司的订单需求减少,叠加海外部分国家因关税政策变化及国际政治形势的影响,部分境外客户转移供应链到东南亚地区,减少对公司的订单量,导致公司ODM/OEM业务收入同比减少;因此公司整体业务收入较上年同期减少,受此影响,公司的毛利额亦同比减少。2、受货币市场波动影响,财务费用增加因公司外销业务主要以美元结算,受美元汇率波动影响,公司2025年汇兑损失增加;受市场利率下行的影响,公司现金管理收益较上年同期亦有所下降。3、业务推广费较上年同期增加2025年度,公司销售费用较上年同期有所增加,主要是公司2025年加大了自有品牌业务的开拓力度,业务推广费有所增加,但同步带动了自有品牌业务收入的增长。",首亏,7070000.0,2026-01-24
353,300841,康华生物,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:19,100万元至23,300万元,同比上年下降:41.55%至52.09%。",212000000.0,-46.82,"公司2025年度归属于上市公司股东的净利润较上年同期下降的主要原因如下:1、受行业政策调整、市场竞争等因素影响,公司疫苗销售收入较上年同期下降约11%,销售利润率有所下降;2、上年同期,公司取得了重组六价诺如病毒疫苗海外许可收入10,624.05万元,贡献利润9,030.44万元,2025年度未取得海外授权阶段性收入。",预减,398651900.0,2026-01-24
354,300841,康华生物,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:20,800万元至23,000万元,同比上年下降:49.73%至54.54%。",219000000.0,-52.135,"公司2025年度归属于上市公司股东的净利润较上年同期下降的主要原因如下:1、受行业政策调整、市场竞争等因素影响,公司疫苗销售收入较上年同期下降约11%,销售利润率有所下降;2、上年同期,公司取得了重组六价诺如病毒疫苗海外许可收入10,624.05万元,贡献利润9,030.44万元,2025年度未取得海外授权阶段性收入。",预减,457495000.0,2026-01-24
355,300687,赛意信息,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:7,500万元至11,000万元。",-92500000.0,-166.365,"本报告期内,公司经营业绩阶段性承压,但整体处于战略升级与高质量发展的关键过渡期。具体情况及应对举措如下:1.受市场环境阶段性波动、公司主动推进业务布局优化及人才结构调整周期等因素影响,本期经营业绩同比有所下降。2.公司部分对外投资子公司年内经营呈现亏损,为真实反映资产价值以提升财务健康度,公司对投资子公司实际运营情况及中长期盈利预期评估,基于谨慎性原则,对相关长期股权投资计提商誉减值准备。3.为提升财务稳健性,加强风险管控,公司全面梳理应收款项,强化信用风险管理,并按会计准则计提坏账准备。4.现金流方面,公司四季度经营性回款成效显著。全年维度,公司经营性净现金流正向且快速增长,体现主营业务回款质量持续优化的较好态势。公司将加速推动工业AI等新兴业务的商业化落地,持续优化运营效率,深化精细化管理,全力提升各板块盈利能力,通过业务升级,战略聚焦与内部提质,为下一阶段的业绩回升和高质量发展注入较强动力。",首亏,139378000.0,2026-01-24
356,300687,赛意信息,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:9,652万元至13,152万元。",-114020000.0,-203.365,"本报告期内,公司经营业绩阶段性承压,但整体处于战略升级与高质量发展的关键过渡期。具体情况及应对举措如下:1.受市场环境阶段性波动、公司主动推进业务布局优化及人才结构调整周期等因素影响,本期经营业绩同比有所下降。2.公司部分对外投资子公司年内经营呈现亏损,为真实反映资产价值以提升财务健康度,公司对投资子公司实际运营情况及中长期盈利预期评估,基于谨慎性原则,对相关长期股权投资计提商誉减值准备。3.为提升财务稳健性,加强风险管控,公司全面梳理应收款项,强化信用风险管理,并按会计准则计提坏账准备。4.现金流方面,公司四季度经营性回款成效显著。全年维度,公司经营性净现金流正向且快速增长,体现主营业务回款质量持续优化的较好态势。公司将加速推动工业AI等新兴业务的商业化落地,持续优化运营效率,深化精细化管理,全力提升各板块盈利能力,通过业务升级,战略聚焦与内部提质,为下一阶段的业绩回升和高质量发展注入较强动力。",首亏,110306000.0,2026-01-24
357,300552,万集科技,扣除后营业收入,"预计2025年1-12月扣除后营业收入:106,800万元至110,800万元。",1088000000.0,,"报告期内,受益于车路云一体化及高速公路交通基础设施数字化转型升级相关政策的推动,公司紧密关注国家政策导向与行业发展趋势,积极把握市场机遇,持续开拓国内外市场,提升市场份额。2025年度,公司整体营业收入实现15%以上增长,其中智能网联、激光雷达、动态称重业务收入同比增长均超过20%。公司通过加强成本管控、抑制费用过快增长,并加大应收账款清收力度,期间费用同比有所下降;同时随着应收账款回收情况改善,信用减值计提同比减少。在上述因素共同作用下,公司2025年度净利润与经营性现金流均实现同比大幅度改善。然而,由于公司坚持长期发展战略,持续保持较高的市场与研发投入规模,2025年度净利润仍处于亏损状态。",略增,925634100.0,2026-01-24
358,300552,万集科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:13,500万元至18,500万元。",-160000000.0,58.565,"报告期内,受益于车路云一体化及高速公路交通基础设施数字化转型升级相关政策的推动,公司紧密关注国家政策导向与行业发展趋势,积极把握市场机遇,持续开拓国内外市场,提升市场份额。2025年度,公司整体营业收入实现15%以上增长,其中智能网联、激光雷达、动态称重业务收入同比增长均超过20%。公司通过加强成本管控、抑制费用过快增长,并加大应收账款清收力度,期间费用同比有所下降;同时随着应收账款回收情况改善,信用减值计提同比减少。在上述因素共同作用下,公司2025年度净利润与经营性现金流均实现同比大幅度改善。然而,由于公司坚持长期发展战略,持续保持较高的市场与研发投入规模,2025年度净利润仍处于亏损状态。",减亏,-386108100.0,2026-01-24
359,300552,万集科技,营业收入,"预计2025年1-12月营业收入:107,500万元至111,500万元。",1095000000.0,17.72,"报告期内,受益于车路云一体化及高速公路交通基础设施数字化转型升级相关政策的推动,公司紧密关注国家政策导向与行业发展趋势,积极把握市场机遇,持续开拓国内外市场,提升市场份额。2025年度,公司整体营业收入实现15%以上增长,其中智能网联、激光雷达、动态称重业务收入同比增长均超过20%。公司通过加强成本管控、抑制费用过快增长,并加大应收账款清收力度,期间费用同比有所下降;同时随着应收账款回收情况改善,信用减值计提同比减少。在上述因素共同作用下,公司2025年度净利润与经营性现金流均实现同比大幅度改善。然而,由于公司坚持长期发展战略,持续保持较高的市场与研发投入规模,2025年度净利润仍处于亏损状态。",略增,930199600.0,2026-01-24
360,300552,万集科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:16,500万元至21,500万元。",-190000000.0,52.785,"报告期内,受益于车路云一体化及高速公路交通基础设施数字化转型升级相关政策的推动,公司紧密关注国家政策导向与行业发展趋势,积极把握市场机遇,持续开拓国内外市场,提升市场份额。2025年度,公司整体营业收入实现15%以上增长,其中智能网联、激光雷达、动态称重业务收入同比增长均超过20%。公司通过加强成本管控、抑制费用过快增长,并加大应收账款清收力度,期间费用同比有所下降;同时随着应收账款回收情况改善,信用减值计提同比减少。在上述因素共同作用下,公司2025年度净利润与经营性现金流均实现同比大幅度改善。然而,由于公司坚持长期发展战略,持续保持较高的市场与研发投入规模,2025年度净利润仍处于亏损状态。",减亏,-402413200.0,2026-01-24
361,300503,昊志机电,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:12,800万元至16,500万元,同比上年增长:54.4%至99.03%。",146500000.0,76.715,"1、本报告期,受益于AI算力基础设施和消费电子升级带来的PCB市场需求增长,以及国产替代加速和技术创新的推动,公司PCB专用加工设备及多类主轴产品销售收入同比大幅提升。在规模效应带动下,产品毛利率有所提高,整体经营能力增强,推动2025年归属于上市公司股东的净利润实现较大幅度增长。2、本报告期,公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,350-5,000万元,上年同期为4,034.53万元。",预增,82900400.0,2026-01-24
362,300503,昊志机电,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:7,650万元至11,200万元,同比上年增长:79.77%至163.19%。",94250000.0,121.48,"1、本报告期,受益于AI算力基础设施和消费电子升级带来的PCB市场需求增长,以及国产替代加速和技术创新的推动,公司PCB专用加工设备及多类主轴产品销售收入同比大幅提升。在规模效应带动下,产品毛利率有所提高,整体经营能力增强,推动2025年归属于上市公司股东的净利润实现较大幅度增长。2、本报告期,公司预计非经常性损益对归属于上市公司股东的净利润影响金额约为3,350-5,000万元,上年同期为4,034.53万元。",预增,42555100.0,2026-01-24
363,300483,首华燃气,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:15,000万元至20,000万元。",175000000.0,124.615,"本报告期,公司持续深化深层煤层气开发、精细化致密气动用、多层系纵向立体开发等方面的研究、部署与开发,持续加大建产力度,稳步推进气井投产工作,天然气产量快速提升,2025年末日产气量突破300万立方米,年产气量同比增长约98%;同时,公司进一步强化上中下游协同,销售气量同比增长约90%。本报告期,公司预计归属于上市公司股东的净利润为盈利15,000万元–20,000万元、扣除非经常性损益后的净利润为盈利14,600万元–19,600万元,主要原因为:公司天然气产建工作按计划推进,产销量大幅增长,收入规模增加;同时随着地质研究深入认识、工程方案持续优化、开采技术日趋成熟,开采成本也呈现出下降趋势,因此相应毛利额贡献同比增厚。此外,天然气开采控股子公司北京中海沃邦能源投资有限公司确认与收益相关的政府补助约1.59亿元,对当期损益产生正面影响。",扭亏,-710954100.0,2026-01-24
364,300483,首华燃气,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:14,600万元至19,600万元。",171000000.0,123.59,"本报告期,公司持续深化深层煤层气开发、精细化致密气动用、多层系纵向立体开发等方面的研究、部署与开发,持续加大建产力度,稳步推进气井投产工作,天然气产量快速提升,2025年末日产气量突破300万立方米,年产气量同比增长约98%;同时,公司进一步强化上中下游协同,销售气量同比增长约90%。本报告期,公司预计归属于上市公司股东的净利润为盈利15,000万元–20,000万元、扣除非经常性损益后的净利润为盈利14,600万元–19,600万元,主要原因为:公司天然气产建工作按计划推进,产销量大幅增长,收入规模增加;同时随着地质研究深入认识、工程方案持续优化、开采技术日趋成熟,开采成本也呈现出下降趋势,因此相应毛利额贡献同比增厚。此外,天然气开采控股子公司北京中海沃邦能源投资有限公司确认与收益相关的政府补助约1.59亿元,对当期损益产生正面影响。",扭亏,-724861000.0,2026-01-24
365,300375,鹏翎股份,营业收入,"预计2025年1-12月营业收入:278,000万元至288,000万元。",2830000000.0,15.015,"1.公司根据《会计监管风险提示第8号-商誉减值》《企业会计准则》及相关规定,对公司含商誉的资产组账面价值进行了初步减值测试。受市场竞争加剧影响,公司河北新欧项目的业务存在销售价格下滑情况,按照审慎性原则,公司初步判断相关商誉存在减值迹象,预计商誉减值计提区间在28,000万元上下波动,导致公司2025年净利润亏损;2.公司2025年非经常性损益金额约为1,200万元,本期非经常性损益主要系财政补助等;3.公司热管理项目加大了先期开发投入。",略增,2460581600.0,2026-01-24
366,300375,鹏翎股份,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:16,800万元至22,800万元。",-198000000.0,-354.985,"1.公司根据《会计监管风险提示第8号-商誉减值》《企业会计准则》及相关规定,对公司含商誉的资产组账面价值进行了初步减值测试。受市场竞争加剧影响,公司河北新欧项目的业务存在销售价格下滑情况,按照审慎性原则,公司初步判断相关商誉存在减值迹象,预计商誉减值计提区间在28,000万元上下波动,导致公司2025年净利润亏损;2.公司2025年非经常性损益金额约为1,200万元,本期非经常性损益主要系财政补助等;3.公司热管理项目加大了先期开发投入。",首亏,77650400.0,2026-01-24
367,300375,鹏翎股份,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:18,000万元至24,000万元。",-210000000.0,-379.84,"1.公司根据《会计监管风险提示第8号-商誉减值》《企业会计准则》及相关规定,对公司含商誉的资产组账面价值进行了初步减值测试。受市场竞争加剧影响,公司河北新欧项目的业务存在销售价格下滑情况,按照审慎性原则,公司初步判断相关商誉存在减值迹象,预计商誉减值计提区间在28,000万元上下波动,导致公司2025年净利润亏损;2.公司2025年非经常性损益金额约为1,200万元,本期非经常性损益主要系财政补助等;3.公司热管理项目加大了先期开发投入。",首亏,75042400.0,2026-01-24
368,300270,中威电子,营业收入,"预计2025年1-12月营业收入:16,000万元至20,000万元。",180000000.0,-1.38,"1、报告期内,公司归属于上市公司股东的净利润仍为亏损,主要原因:(1)应收款项回款不及预期,持续计提信用减值损失;(2)管理费用和销售费用较上年虽下降较多,不能弥补信用减值损失计提对利润的影响。2、报告期内,公司非经常性损益对公司净利润的影响金额约为1,077万元,上年同期非经常性损益对公司净利润的影响金额为846.11万元。其中,本年度公司与河北驰畅电子科技有限公司发生债务重组,公司确认投资损益423.49万元。",续盈,182520000.0,2026-01-24
369,300270,中威电子,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:5,500万元至7,500万元。",-65000000.0,-3.49,"1、报告期内,公司归属于上市公司股东的净利润仍为亏损,主要原因:(1)应收款项回款不及预期,持续计提信用减值损失;(2)管理费用和销售费用较上年虽下降较多,不能弥补信用减值损失计提对利润的影响。2、报告期内,公司非经常性损益对公司净利润的影响金额约为1,077万元,上年同期非经常性损益对公司净利润的影响金额为846.11万元。其中,本年度公司与河北驰畅电子科技有限公司发生债务重组,公司确认投资损益423.49万元。",续亏,-62810000.0,2026-01-24
370,300270,中威电子,扣除后营业收入,"预计2025年1-12月扣除后营业收入:15,000万元至19,000万元。",170000000.0,,"1、报告期内,公司归属于上市公司股东的净利润仍为亏损,主要原因:(1)应收款项回款不及预期,持续计提信用减值损失;(2)管理费用和销售费用较上年虽下降较多,不能弥补信用减值损失计提对利润的影响。2、报告期内,公司非经常性损益对公司净利润的影响金额约为1,077万元,上年同期非经常性损益对公司净利润的影响金额为846.11万元。其中,本年度公司与河北驰畅电子科技有限公司发生债务重组,公司确认投资损益423.49万元。",续盈,162880000.0,2026-01-24
371,300270,中威电子,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,500万元至9,000万元。",-77500000.0,-8.74,"1、报告期内,公司归属于上市公司股东的净利润仍为亏损,主要原因:(1)应收款项回款不及预期,持续计提信用减值损失;(2)管理费用和销售费用较上年虽下降较多,不能弥补信用减值损失计提对利润的影响。2、报告期内,公司非经常性损益对公司净利润的影响金额约为1,077万元,上年同期非经常性损益对公司净利润的影响金额为846.11万元。其中,本年度公司与河北驰畅电子科技有限公司发生债务重组,公司确认投资损益423.49万元。",续亏,-71270000.0,2026-01-24
372,300185,通裕重工,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:5,700万元至6,700万元,同比上年增长:151.7%至195.85%。",62000000.0,173.775,"(一)铸件业务收入及毛利率同比提升。报告期内,公司持续深耕铸件主业,积极拓展产品应用场景与客户群体,凭借稳定的产品质量与高效的交付能力获得更多订单。同时,公司不断优化产能布局、提升生产效率,有效满足市场增量需求,推动铸件收入同比增长。此外,公司通过工艺改进与产品升级提升附加值,以及优化定价策略进一步释放竞争优势,推动铸件产品毛利率同比上涨,成为业绩同比增长的主要驱动因素。(二)原材料采购成本同比下降。受大宗商品价格波动及供应链管理优化影响,报告期内,主要原材料采购价格较上年有所下降。公司通过集中采购、长期战略合作等方式进一步降低采购成本,有效缓解成本端压力,为业绩增长提供有力支撑。(三)降本增效战略落地见效。报告期内,公司强化内部精细化管理,全面推进降本增效专项工作,通过优化生产工艺流程、提高设备运转率、严控各项费用等举措,实现运营效率与资源利用效率双提升,进一步增厚利润空间。报告期内,预计非经常性损益对公司净利润的影响额度约为550万元。",预增,22646300.0,2026-01-24
373,300185,通裕重工,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:6,250万元至7,250万元,同比上年增长:51.05%至75.22%。",67500000.0,63.135,"(一)铸件业务收入及毛利率同比提升。报告期内,公司持续深耕铸件主业,积极拓展产品应用场景与客户群体,凭借稳定的产品质量与高效的交付能力获得更多订单。同时,公司不断优化产能布局、提升生产效率,有效满足市场增量需求,推动铸件收入同比增长。此外,公司通过工艺改进与产品升级提升附加值,以及优化定价策略进一步释放竞争优势,推动铸件产品毛利率同比上涨,成为业绩同比增长的主要驱动因素。(二)原材料采购成本同比下降。受大宗商品价格波动及供应链管理优化影响,报告期内,主要原材料采购价格较上年有所下降。公司通过集中采购、长期战略合作等方式进一步降低采购成本,有效缓解成本端压力,为业绩增长提供有力支撑。(三)降本增效战略落地见效。报告期内,公司强化内部精细化管理,全面推进降本增效专项工作,通过优化生产工艺流程、提高设备运转率、严控各项费用等举措,实现运营效率与资源利用效率双提升,进一步增厚利润空间。报告期内,预计非经常性损益对公司净利润的影响额度约为550万元。",预增,41376000.0,2026-01-24
374,300006,莱美药业,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:12,000万元至13,500万元。",-127500000.0,-45.21,"本报告期内,公司业绩主要影响原因如下:1.公司部分品种销量、销售价格同比下降,导致公司营业收入同比略有减少;同时公司持续研发投入以丰富公司产品管线,相应影响经营性利润。2.部分无形资产由于集采政策影响出现减值迹象,经初步测算,计提无形资产减值准备约6,000万元。3.公司所投部分联营企业由于研发投入增加、公允价值变动损失增加等原因,公司相应确认投资损失约2,300万元。4.预计本报告期非经常性损益对公司净利润的影响金额约为410万元。",增亏,-87804400.0,2026-01-24
375,300006,莱美药业,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:12,410万元至13,910万元。",-131600000.0,-10.71,"本报告期内,公司业绩主要影响原因如下:1.公司部分品种销量、销售价格同比下降,导致公司营业收入同比略有减少;同时公司持续研发投入以丰富公司产品管线,相应影响经营性利润。2.部分无形资产由于集采政策影响出现减值迹象,经初步测算,计提无形资产减值准备约6,000万元。3.公司所投部分联营企业由于研发投入增加、公允价值变动损失增加等原因,公司相应确认投资损失约2,300万元。4.预计本报告期非经常性损益对公司净利润的影响金额约为410万元。",增亏,-118869700.0,2026-01-24
376,200726,鲁泰B,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:57,000万元至63,000万元,同比上年增长:38.92%至53.54%。",600000000.0,46.23,"公司2025年度实现归属于上市公司股东的净利润增加,主要原因是出售交易性金融资产获得投资收益及所持有交易性金融资产产生公允价值变动等收益,上述收益计入非经常性损益,增加净利润约17,000万元。",预增,410321400.0,2026-01-24
377,200726,鲁泰B,每股收益,预计2025年1-12月每股收益盈利:0.7元至0.77元。,0.735,,"公司2025年度实现归属于上市公司股东的净利润增加,主要原因是出售交易性金融资产获得投资收益及所持有交易性金融资产产生公允价值变动等收益,上述收益计入非经常性损益,增加净利润约17,000万元。",预增,0.5,2026-01-24
378,200726,鲁泰B,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:37,000万元至43,000万元,同比上年下降:10.85%至23.29%。",400000000.0,-17.07,"公司2025年度实现归属于上市公司股东的净利润增加,主要原因是出售交易性金融资产获得投资收益及所持有交易性金融资产产生公允价值变动等收益,上述收益计入非经常性损益,增加净利润约17,000万元。",略减,482338700.0,2026-01-24
379,200539,粤电力B,每股收益,预计2025年1-12月每股收益盈利:0.11元至0.1443元。,0.12715,,"2025年度,由于电力市场竞争加剧及相关政策调整,公司上网电价同比显著下行,对全年营业收入形成较大压力。燃煤、燃气等主要发电燃料价格整体延续了下降趋势,对公司控制成本产生积极影响。但由于燃料成本下降效应在全年体现存在一定的滞后性,叠加新项目投产带来的成本增加,未能抵销电价下降对利润的不利影响,平均发电毛利下降,公司全年归属于上市公司股东的净利润同比下降。",略减,0.1837,2026-01-24
380,200539,粤电力B,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:57,740万元至75,740万元,同比上年下降:21.45%至40.12%。",667400000.0,-30.785,"2025年度,由于电力市场竞争加剧及相关政策调整,公司上网电价同比显著下行,对全年营业收入形成较大压力。燃煤、燃气等主要发电燃料价格整体延续了下降趋势,对公司控制成本产生积极影响。但由于燃料成本下降效应在全年体现存在一定的滞后性,叠加新项目投产带来的成本增加,未能抵销电价下降对利润的不利影响,平均发电毛利下降,公司全年归属于上市公司股东的净利润同比下降。",略减,964240000.0,2026-01-24
381,200539,粤电力B,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:47,340万元至70,340万元,同比上年下降:24.48%至49.18%。",588400000.0,-36.83,"2025年度,由于电力市场竞争加剧及相关政策调整,公司上网电价同比显著下行,对全年营业收入形成较大压力。燃煤、燃气等主要发电燃料价格整体延续了下降趋势,对公司控制成本产生积极影响。但由于燃料成本下降效应在全年体现存在一定的滞后性,叠加新项目投产带来的成本增加,未能抵销电价下降对利润的不利影响,平均发电毛利下降,公司全年归属于上市公司股东的净利润同比下降。",略减,931460000.0,2026-01-24
382,003011,海象新材,每股收益,预计2025年1-12月每股收益盈利:0.88元至1.07元。,0.975,,"公司基于谨慎性原则,为真实反映公司的财务状况、资产价值及经营情况,根据《企业会计准则》《企业会计准则第8号--资产减值》《深圳证券交易所上市公司自律监管指引第1号--主板上市公司规范运作》及公司会计政策的相关规定,上年同期公司对越南生产基地可能受溯源影响的存货、越南生产基地的部分固定资产等资产的可变现净值、可收回金额等进行了充分的分析、评估和测试,计提了适当的资产减值准备,对公司上年同期的利润相关指标造成了一定影响。本期根据产能对集团内部分产能不足的固定资产进行评估和测试,计提了适当的资产减值准备,计提金额与上年同期相比对利润指标产生较大差异。",预增,0.49,2026-01-24
